reviewerID,asin,overall
ACIBQ6BQ6AWEV,B0009PLLN6,1.0
AZ2K08MNJFR16,B000F1IQI2,4.0
A3N48NHTSIIJ1,B000FA4TLQ,4.0
A1Y73DR9G84YZK,B00009W0UF,5.0
A7HASSXT44XRI,B0017JHQOG,5.0
AX6W3ADO6U5XB,B00G15MDI0,5.0
A3VU9EC95GZ418,B004H2CXBQ,5.0
A26N27LJVQNVI1,B00BWRKVTU,5.0
A1DRM3JV6T5O6P,B001GKJ2DO,2.0
A1LZ4Q5FQ6IUM2,B001W9EUC2,5.0
AW3VZ5O895LRK,B001IBIDLI,5.0
A2I14B0RQ5JLPH,B0000VAFNQ,5.0
A1RKD1I8MW1LG6,B00005JN5E,4.0
A17VI5JKD3AQFH,B0000667LK,4.0
A2FES1XMFNP3UP,B001H5X7I4,1.0
A2RMQW7RQ2VI6I,0767821599,3.0
A23FODVQ7SJGT9,B0001AVZM6,5.0
AGX2K0FMS0IVL,B0038M2AOG,5.0
A1FY2RI2ELDDRI,7883706837,5.0
A39W3263A9HCMN,B005LAIIQC,3.0
A2XVRCU5DQBULH,6304083769,4.0
AKV2BGUT50B1X,6302453232,4.0
ADEW9NW1HGTNJ,B00003CXMG,5.0
A3LC2I812OWCKB,6305568901,5.0
AWF2S3UNW9UA0,0783225873,5.0
A3BEF4IHWI0VC,B0016Q2D66,4.0
A24PTVSZSM8968,6305537798,3.0
AF3X7J0XC391L,B00246QGHE,5.0
A35WVFSULRE1G9,0767806808,4.0
A2W5WK4GRCL05A,0767811410,4.0
A2Y9U0BLP7Q9UM,B000K7VHOG,3.0
A2GCHG6U8HTVIT,6303038727,4.0
A35VG5NCAWKUI,B0037QGS0A,5.0
A2OMDT29QMLAWQ,B001IDZLCK,4.0
A34PAZQ73SL163,7040267373,5.0
A3JJA7N685ASZG,0782008380,4.0
A25TUXM2LXYXOX,B000035P81,1.0
A33RN6T49VEFUO,B001AQO3WY,5.0
A171FU7AC9YYMS,B000JLQPTK,3.0
AW1493ZQTQ2ET,B009AMANBA,5.0
A2FPP396R2Q49Z,6300146464,5.0
A1KMG1AIUS00DC,0800127803,4.0
A2198FZZMTJ38H,0767805712,5.0
A1QQPIUXWD4G0Z,B00005JM5B,1.0
A3CCPDDRWS8WKY,B000FGFBVM,5.0
A2ZDK3V1OAUB1G,6302987865,5.0
ANTWEAAHYZN42,B00DL47ORO,5.0
ASIA7V7CBSKD3,B0002234LS,4.0
A355WMP0CQBJFX,B000OYC7BW,4.0
A3RZR8VGIQS68Z,B0007R4T3U,5.0
A1X054KUYG5V,0800125762,4.0
A2FRKEXDXDN1KI,B008J691HU,4.0
A3PW18WSLXXYYB,B000T9OP7G,5.0
A2UD8A6JDZ8L4M,0792841344,2.0
A1LBAC84TLIGAX,0780621964,4.0
AXDNQ878XL83L,0790740834,3.0
A3QVB5282SYE3Q,B000A59PMO,5.0
AC93F50L9T19N,6302822696,5.0
A100RW34WSLTUW,B00005JPSM,5.0
A331OF34UX4Y1K,6305922640,1.0
A2NVQZ4Y7Y0J1R,B0002NY81C,1.0
AQP1VPK16SVWM,B0007XG26G,5.0
A35YWA2V4QHOJ3,B001C0JCBA,4.0
A3DKB9QZUJYBE3,0792100085,4.0
AGBVL1M99LAGE,B000FUTV64,3.0
A3NQSMTG612AF,B0000633ZP,2.0
A17MJHGXOTPACI,0790747464,5.0
A1M7N5V6W0Z0H7,B000066HAS,5.0
A3OA0PLUJKWEJ3,6303257429,5.0
A2Q457CES5ZUZ,0783236352,5.0
A3JM17QHAJCOWD,B000JLTRIG,4.0
A1XV95ID4PBQSH,B0002V7T5Q,5.0
A2BEQH7FZRVYS6,6304406096,5.0
AQ01Q3070LT29,6301024443,1.0
ABU4LUKJU2QOY,B0059XTU1S,4.0
ASF2Z8OJR0TP3,B00015YVI6,2.0
AS6SH2JM2YY3H,1419838830,5.0
A3KF4IP2MUS8QQ,B00003CWLE,5.0
A2PXHFGJZBNLXB,B00005JND5,4.0
A25HYPL2XKQPZB,B001IZNIZU,4.0
AH1M9A3JTV7C3,B0002IQK9U,4.0
A3QA6XRSK843ZV,B0050PYNO4,5.0
A2BPDFR58H9575,B0002I83Z4,4.0
AMNNPDX9MFEUD,B002QEHPQA,3.0
A1VAU4V7HOE90T,0767814037,5.0
A1WUIL9M56LY89,0790733420,5.0
A2JP0URFHXP6DO,B00079HZY8,4.0
A18758S1PUYIDT,B00I208ZHA,2.0
A3DE9GQDO6O6D1,B00003CY5U,5.0
AAUAOPPH3PBB2,B0019F030M,1.0
AFVROUVTT63XM,0790733390,5.0
A366JNHOWLQWQQ,B00H5RYIBI,4.0
A1U9V4LBJ468NU,1400322715,5.0
A28MM46KI4EQB2,6304176287,5.0
AA4LOOHYNFUJF,B008HUSFTS,5.0
A391YPR0NFTCLK,6302909058,5.0
A1EAMAQ8BSI0LY,6301394070,4.0
A1Y2ZX5M6ONG98,B000FKO3U8,5.0
A3ANBQAF4OY0P1,B005LAIHKY,3.0
A2OU415LB9I5J6,0792846133,5.0
APLLDBMLYWJ8A,B008VPBZXW,4.0
A17UJLZKSP01V7,B00BUADSMQ,4.0
AWNKEM8DAG8PY,B00005JMQW,3.0
A3JD8FDS3CO3GH,B00000G02H,5.0
A1GHUN5HXMHZ89,B000JBWWPG,4.0
A1V2542L08YPYC,6302272858,5.0
ADFW24FWYAECI,B000HIVIOC,4.0
A133JP50JLSPGE,6302271991,5.0
ACUUA90VVOCAS,B00005JLSE,5.0
A3SQV1Q3LQH59Z,B001GP5TLS,4.0
ABP69F7LFTI1R,B00008AOWL,5.0
A4F8CJ1L4348V,B0002WZT7K,5.0
A25HYPL2XKQPZB,B0007VZ9D0,3.0
A1Q1467CY5A9L7,0764001035,3.0
A13PFY3KRKHY1P,630401709X,5.0
A1RP6YCOS5VJ5I,6302038308,5.0
AIO247KHD2O40,B0010X73ZG,5.0
A10KHX41ONY4U1,B004LWZW42,5.0
A2KU5PG32H7QBN,B000BX8R10,2.0
A1AKXBHFTV8IHE,B000JYW5DM,1.0
AQSMM1Z9BEOYT,B002ZG99N6,4.0
A4Q6F1RGQ2WWM,B00GD9GNEY,4.0
AVN00ASBFTMN6,B0087IT80A,5.0
A25ZVI6RH1KA5L,6304198574,4.0
A3AOKQCH0YBZDS,B0018BD9DA,4.0
A3SOV9HFM5H9T1,0784011648,5.0
A3IB1W0SVED0Z3,6302548748,5.0
A32XWYLE3SPSD2,0767825616,5.0
A2NOZB6VZCTOI4,B0036BRBOS,4.0
A2D1ZQEFS1NBH2,B00A17P7OQ,5.0
A1EAMAQ8BSI0LY,B00000G3PL,2.0
A2FPSRSSYA24C6,B00EYPJHDI,4.0
A2MUD2VY9HWFXQ,B000BTITFI,5.0
A3CWAYQKUO5NML,0792160207,5.0
A2WRYMOJJ5WICS,B009L79YFU,3.0
A3LG14LGG820ZJ,B008IG0DU0,5.0
A3MLO4GAD2O9DL,B00003CXXO,2.0
ANGH6401L9Y0T,B00014NEZI,4.0
A3VO05LD5WSO9F,6302049040,4.0
A1VJ7HYM1EC94M,6304290888,5.0
A35A8V9VAQCVFA,B003L77FYS,5.0
A18IQME5DCSH2L,B0009ETCVA,2.0
A1URXSRV6WDHVY,B000MR9D5E,4.0
A3AP6H48QHX8BR,B00005JO1R,4.0
A3KF4IP2MUS8QQ,B0007WRT4Q,4.0
A22R1X2P28BFCV,B0007XG266,1.0
A4WNCSJJY011A,B001E6JC26,5.0
A1RP6YCOS5VJ5I,B00005JND2,4.0
AGFO6RNCAAT09,6302797632,3.0
A3VWGPUMJMVD1I,B00005221I,5.0
A3PA0W1VUDU4J7,6302760046,5.0
A3T3USBHXZ5Q7F,B00A2H9L2E,5.0
ARU2C3B31N5OW,0780621980,5.0
A16CZRQL23NOIW,B000NOIX48,4.0
A25ZVI6RH1KA5L,B000244F2S,5.0
A1JH5J1KQAUBMP,6305262160,3.0
A13QNGUB9IYTY4,0783231032,5.0
A25JH6CO4DVINS,B001GCUNZI,3.0
A3OMU7S8V7MML0,B0090SI56Y,5.0
A18IK6YI6T3RK2,6300248143,5.0
A25MZ7A5A4I6Z5,6303985394,4.0
A25PM9JGHPU8EI,B000062XH9,5.0
A3GD9BKIUT3I89,B000N3SSBW,4.0
A2HDJDMP7USKZQ,B0064NLQYG,4.0
ACF5JNP7DGPOH,6305265488,5.0
A2FJBJ947VUOGT,6305447233,4.0
A1SOZ51PECGR0E,B003CWEQ7G,1.0
A3APW42N5MRVWT,B001GCUO5M,4.0
A29SJTG21BVWF4,B0007R4T3U,5.0
A23HTHSRWOI7Y0,6301885732,4.0
A2R1HAXRNU0QX7,B000BT97AO,3.0
A3PKZG3OU3YQ80,B00BEJL6JK,4.0
A1SG0EBC86HTKD,B00004YA66,5.0
A13TO5TU4A68LD,B00GTZWZH6,3.0
A3HI2HBUS8MITB,B0002HODU4,3.0
A3RRSDA84DPI72,0792838467,5.0
A2L7WYA5OENV03,0780622545,5.0
A1H7T0X2AAD030,6303305520,5.0
A2TAV6XYP1UB4P,B00006RCNW,5.0
A3EXIZWHSNVNME,B002ZG99EK,4.0
A13J5V22IPFWNU,B003F1WA7C,2.0
A27TQA0XCZUXZY,B001L5DSMA,4.0
A1QIF5JZARLE1H,6302753198,5.0
A3P04FMMRQJ2ME,B0002S64Z0,5.0
A1HMBIRR0RJ1NI,B0007V6IT4,3.0
A3VQLTB724O77W,6305428115,4.0
AK62ZX3ESZDI1,6305046921,5.0
A2M66S05KKNSWC,6303935419,4.0
AWEOR1WZSMBEZ,B00005AAA9,4.0
A22NQF87VKM11T,B00003CY57,3.0
A2HT0J58KOSITH,B00005V9HY,4.0
AUTBHG6070SL4,B000056PMV,4.0
A28OB1QLXN5BM6,B003Y5H54W,3.0
A2PL4KP6QX65EA,B00GD9GNEY,4.0
AVUBO1W7EV0WJ,B000M4RG42,5.0
A38IECF2ZRB67O,0792842960,4.0
A1ZTE3K3EN4TS3,B00000IC9S,4.0
A3J029KBNG5MNP,0792846613,5.0
A3CCPDDRWS8WKY,B000WM4R2I,5.0
A29R4FCO6RFX4K,0790729695,4.0
A3J9LLWHZH15HG,0783222823,5.0
A3FVE0A30QIUHN,6303407188,3.0
ACO20QL72D1E6,6301797957,5.0
A1COW0UIB5HA9J,0800179501,5.0
A1WKTQMHQVLNA9,B001AI776G,5.0
A1UARE90SQDKOL,B002ZG977Y,1.0
A2AU4WCDT80U6A,6304089201,5.0
A20EEWWSFMZ1PN,6303148514,5.0
A16J5IIA94TJOB,B0000040E9,4.0
A29ND8RD38SEUZ,B003Y5H5H4,4.0
A24GYTKSRBTR7P,630428845X,3.0
ADE852UR9121C,1404983082,3.0
ANCOMAI0I7LVG,6304961685,4.0
A1O2G0C5J015I0,B005S9EI2Y,4.0
A1CKZZBM4BV0TK,6305807744,1.0
A2SX0FUBCJXSZZ,6301964144,5.0
A3IXN7GF26GN9N,B000QXDG4S,5.0
A1YWUPCT83WY48,0790729644,5.0
A2TAPSNKK9AFSQ,0790729342,5.0
A2HJB9J5O5CLPB,B000YABYLA,4.0
A36PI3OPFT2YC9,6302091632,5.0
A1H0D9LMFMOTJV,B001132GNY,5.0
A1BV97LBICHSSA,6301798090,5.0
A334ORI2SLEQAO,B00000JDIQ,3.0
A3TJJHMWV3SFNI,0788828126,5.0
AP3VHIZBRGO9X,B000056PMV,4.0
A3Q77CS1DEQLMG,079070546X,5.0
A106YXO3EHVD3J,B00005JO20,5.0
A1M9DQDGE07Q0U,B0000WN0PA,4.0
ALS0MQ6MPIKIP,B00080Z53O,5.0
ABDAHMRYSMMIV,B001209SMS,4.0
A1N8K1X0OLLADY,B00005JM0B,4.0
A3MCEFHHX3IXJ5,6305304750,5.0
A6ADO7B6FUVN,B000078UJV,5.0
A2B73CL3QSYWLB,B000FKO3VC,5.0
A20NJAPECFGIR9,6303212263,4.0
ANAYSRE3LX8GZ,6301589025,2.0
A2XLGLF0V4O7JD,B003VOVVWS,5.0
A1U4PGX0KTLQJC,B000PGUT8C,5.0
A3I3051BZDJWGU,B00C5W3SBE,1.0
A328S9RN3U5M68,6302822696,4.0
AKJ9MEE93DG5O,B001GCUO5M,4.0
A2NJO6YE954DBH,B00005RRJZ,4.0
A461VTLW9G9YB,0790741563,4.0
A591NQ8VDT9CF,B008JFUPFI,3.0
A2R1HAXRNU0QX7,B000CEXG0U,5.0
A3I4PNY9STVH7F,6302977193,5.0
A1CAA0683A5MLQ,6302925525,3.0
A153NZD2WZN5S3,0783228317,4.0
A3ANETCTMAN1NP,B00DLX766Y,3.0
A13QHL1LJWIOGM,B0001Z3IPS,5.0
A1MO9F4AV19QHS,B0000TAYWA,5.0
AZIXJNEHP065V,6302000661,5.0
A1TRPKDQWEP23V,B001KVZ6HK,4.0
A1GHUN5HXMHZ89,079074774X,4.0
A2ATWKOFJXRRR1,B000BQ5IXM,3.0
A2PV6GK1HV54Y9,B00005JM2Y,3.0
A3L2856DIMUXJY,B000006O4Y,5.0
A36FZSMSG6CA6H,B005LAII3A,4.0
A6ADO7B6FUVN,6302969581,5.0
A1XJOSJN6FHFO0,B00005JMXX,5.0
A1KQ9JEI5Q514U,0788811207,5.0
A1K0LPMMIU2UV6,B00005JLTK,5.0
